Avenged Sevenfold	Almost Easy
Tori Amos	All the Girls Hate Her
Depeche Mode	Barrel of a Gun
Chimaira	Black Heart
Garbage	Breaking Up the Girl
In This Moment	Burn
Black Sabbath	Cardinal Sin
Arch Enemy	Dark Insanity
Slayer	Darkness Of Christ
Prong	Divide And Conquer
Moby	Everloving
In Flames	Everything's Gone
Deep Purple	Evil Louie
Dethklok	Fansong
Coal Chamber	Feed My Dreams
bôa	Fool
Paul Ruskay	Gaalsi Resource Operation
Arch Enemy	Hydra
Dream Theater	Illumination Theory
Amaranthe	Infinity
Otep	Lords Of War
Hans Zimmer	Mind If I Cut In?
Melt-Banana	Moon Flavor
The Black Dahlia Murder	Nightbringers
Deep Purple	No One Came
Tori Amos	Over It
Nine Inch Nails	Please
Fear Factory	Repentance
Jon Everist	Restoration
Cannibal Corpse	Return To Flesh
Garbage	Sex Never Goes Out of Fashion
Android Lust	Suffer the Flesh
The Agonist	Take a Bow
Children of Bodom	Talk Dirty To Me
Jesper Kyd	To the Death
Black Sabbath	Trashed
Portishead	Western Eyes
Chimaira	Your Days Are Numbered
Bal-Sagoth	And Lo, When the Imperium Marches Against Gul-Kothoth, Then Dark Sorceries Shall Enshroud the Citadel of the Obsidian Crown
Xandria	Black Flame
Nightwish	Come Cover Me
The Devin Townsend Band	Judgement
Devin Townsend Project	Juular
Sentenced	Love and Death
Sentenced	Nepenthe
Mütiilation	To the Memory of the Dark Countess
Stormwitch	Warlord
Mithotyn	Where My Spirit Forever Shall Be
Pixies	Baal's Back
Cult Leader	Broken Blades
Alberta Cross	Broken Side of Time
Warpaint	By Your Side
Botch	Closure
Godflesh	Deadend
All Pigs Must Die	Death in My Wake
Alice in Chains	Drone
Suffocation	Epitaph Of The Credulous
L.A. Witch	Good Guys
Alice in Chains	Heaven Beside You - Live at the Majestic Theatre, Brooklyn, NY - April 1996
Algiers	Hymn for an Average Man
Thee Oh Sees	I Come From The Mountain
Roméo Elvis	J'ai vu
Kyuss	Katzenjammer
Le Butcherettes	Love Someone
Mogwai	No Medicine for Regret
The Duke Spirit	Red Weather
Carpenter Brut	Run, Sally, Run!
Imperial Triumphant	SWARMING OPULENCE
Queens of the Stone Age	The Blood Is Love
Bad Religion	The Handshake
Spindrift	The Legend Of God's Gun
Christophe Beck	"The North Mountain - From ""Frozen""/Score"
Sonic Youth	The World Looks Red
Yeruselem	Triiiunity
Metallica	Turn the Page
Time Zone	World Destruction
C418	Excuse
Loreena McKennitt	The Mystic's Dream
Mud Flow	The Sense of Me
Perturbator	Fantasy
John Carpenter	Main Title
Mark Lanegan	Riot In My House
Paperi T	Surumielisen näköiset naiset
Bal-Sagoth	Tale From The Deep Woods
Swallow the Sun	These Hours of Despair
Nokturnal Mortum	Ukraine
The Growlers	Use Me for Your Eggs
Yagya	Choose
ASC	Condition 1
Mammal Hands	Kudu
Boards of Canada	Sick Times
Ensiferum	Deathbringer from the Sky
Amon Amarth	Embrace of the Endless Ocean
Peter Fox	Kopf verloren
Faun	Nahtegal
RADIO TAPOK	Chop Suey
Throwdown	I, Suicide
Linkin Park	In the end
Petey Pablo	Need for Speed
Roots Manuva	No Love
Linkin Park	PLC.4 MIE HAED// Amp Live
Clutch	Power Player
Disturbed	Stupify
HammerFall	A Legend Reborn
Unheilig	Astronaut
Fiddler's Green	Greens And Fellows
HammerFall	Legion
Tarja	Never Enough
In Extremo	Störtebeker
Mono Inc.	Viva Hades
Atreyu	Ain't Love Grand
Slash	Anastasia
SXTN	Ausziehen
Five Finger Death Punch	Crossing Over
Enter Shikari	Enter Shikari
Caliban	Forsaken Horizon
Avantasia	Heart
3 Doors Down	It's Not My Time
Lordi	Naked In My Cellar
Madball	New York City
Kool Savas	Nie mehr gehn
Stone Sour	Unfinished
Eminem	Venom - Music From The Motion Picture
Bauhaus	Adrenalin
Oneiroid Psychosis	Coalesce
Frozen Plasma	Crossroads
Marilyn Manson	Cryptorchid
Das Ich	Das ewige Licht
Das Ich	Garten Eden
Velvet Acid Christ	Intussusception
Skinny Puppy	Killing Game
Fields of the Nephilim	Moonchild
Psyclon Nine	Rusted
Marilyn Manson	The Speed of Pain
Cosmic Gate	Be Your Sound
Bon Jovi	Because We Can
Neurosis	Bleeding the Pigs
Grails	Broken Ballad
Electric Light Orchestra	Calling America
Blockhead	Carnivores Unite
Him	Close To The Flame
Aerosmith	Cryin'
Ultra Naté	Free
Mouth of the Architect	Generation Of Ghosts
65daysofstatic	Hypersleep
Bon Jovi	I Love This Town
Nickelback	I'd Come for You
Lady Gaga	Is That Alright?
Nocow	Like Apart
Roxette	Milk and Toast and Honey
Kvelertak	Månelyst
INXS	Need You Tonight
Doom:VS	Oblivion Upon Us
Baroness	Ogeechee Hymnal
Funkadelic	One Nation Under a Groove
Fractal Universe	Parabola of Silence
Opeth	Persephone
Pelican	Red Ran Amber
Fractal Universe	Rising Oblivion
Helado Negro	Runaround
Maroon 5	She Will Be Loved
Lacrimas Profundere	Short Glance
Somali Yacht Club	Signals
Above & Beyond	Sticky Fingers
Electric Light Orchestra	Strange Magic
Sneaker Pimps	Tesko Suicide
Gifts from Enola	The Benefits Of Failure
I Hear Sirens	The Faint Reflection Of Stars
Leonard Cohen	The Future
Oasis	The Masterplan
Nebula	The Other Side
Greenleaf	The Shipbuilder
The Devil And The Almighty Blues	These Are Old Hands
If These Trees Could Talk	Thirty-Six Silos
Crystal Castles	Vietnam
Sheavy	Virtual Machine
Omega Massif	Wölfe
Boozoo Bajou	Yoruba road
Bee Gees	You Should Be Dancing
Modern Talking	You're My Heart, You're My Soul
John Maus	Do Your Best
嵐	サクラ咲ケ
嵐	ハダシの未来
Inner Wave	Bower
A$AP Mob	Frat Rules
Kreayshawn	Gucci Gucci
Keith Sweat	Nobody
Drake	Pound Cake / Paris Morton Music 2
Key Glock	Since 6ix
Peace	1998
Flavien Berger	88888888
Yolanda Be Cool, Gurrumul	A Baru In New York
Tei Shi	Alone in the Universe
Underworld	Altitude Dub
Anderson .Paak	Am I Wrong
ZZ Top	Bad Girl - 2008 Remaster
Pete Heller	Big Love - Eat Me Edit
Yppah	Bushmills
Cassius	Cassius 1999
Soilwork	Centro De Predominio
Anchorsong	Ceremony
Fritz Kalkbrenner	Changing Face
Moderat	Damage Done - Live
Third Party	Everyday Of My Life - VIP Mix
Grizzly Bear	Foreground
The Chemical Brothers	Free Yourself
!!!	Freedom! '15
The Rolling Stones	Heaven - 2009 Re-Mastered Digital Version
Spite Extreme Wing	L'inizio
Kapitán Demo	Láska, pokora a sluníčko
Idles	Mercedes Marxist
Mungolian Jetset	Moon Jocks n Prog Rocks
Róisín Murphy	Nervous Sleep
Young Fathers	Old Rock n Roll
Beak>	Sex Music
Kutiman	She's A Revolution
Jürgen Paape	So Weit Wie Noch Nie
Kakkmaddafakka	Someone New - Roosevelt Remix
The Soul Shouters	Think
The Magician	Together
Sub Focus	Turn Back Time - Metrik Remix
'68	Whether Terrified or Unafraid
Enter Shikari	An Ode To Lost Jigsaw Pieces
HVOB	Astra
Bonaparte	Computer in Love
Movements	Daylily
Saosin	Drinking From The Fountain
Cavalcades	First Ice on Pavement
Tocotronic	Ich lebe in einem wilden Wirbel
Joachim Pastor	Millenium
The Prodigy	O
K.I.Z.	Spasst
Modestep	Sunlight
Zyce	Transmitter
Underoath	Writing On The Walls
Monolith	Compassion
Shahmen	Any More
Shpongle	Once Upon the Sea of Blissful Awareness
Charlie Parker	Summertime
Kraftklub	Alles wegen Dir
Dave Porter	Breaking Bad Main Title Theme
Black Light Burns	Cruel Melody
Jamie Berry	Lost In The Rhythm - Original Mix
Basement	Promise Everything
E.S. Posthumus	Unstoppable
Miranda	Vamos A La Playa - Video Edit
Jedi Mind Tricks	Lemarchand's Box
Storm Weather Shanty Choir	A Drop of Nelson`s Blood
Jethro Tull	A New Day Yesterday - Steven Wilson Remix
Pallbearer	A Plea for Understanding
Black Moth	Buried Hoards
Mos Generator	Catspawn
ZZ Top	Chartreuse
Cathedral	Death Of An Anarchist
Fifth on the Floor	Distant Memory Lane
The Builders and the Butchers	Down In This Hole
Riverside	Escalator Shrine
Death Angel	Falling Asleep
Forndom	Flykt
Break Of Reality	Game of Thrones Theme
Barns Courtney	Glitter & Gold
Corruption	Hang'n'Over
Nick Nolan	Hell on Wheels
Devil Electric	Hypnotica
Soundgarden	Incessant Mace
Antimatter	Integrity
Chris Cornell	Josephine
Clannad	Lady Marian - Remastered 2003
Forndom	När Alvkungens rike faller samman
Pearl Jam	Present Tense
Rootwater	Realize
Artrosis	Sabat
Death Angel	Seemingly Endless Time
My Sleeping Karma	Somalatha
Crowbar	Song Of The Dunes
Iron Maiden	Still Life - 2015 Remaster
Antimatter	The Judas Table
The Bones of J.R. Jones	The Wildness
Trobar de Morte	The Wolf
Tad	Thistle Suit
Iron Maiden	To Tame A Land - 2015 Remaster
Adrian Von Ziegler	Victorious
Ramin Djawadi	Winter Has Come
Iron & Wine	Woman King
Jethro Tull	You Curl Your Toes in Fun/Childhood Heroes/Stabs Instrumental
Velvet Revolver	You Got No Right
Skáld	Ódinn
Boys Noize	Alarm
Paul Keeley	Doormatica
Lipps Inc	Funkytown
Mylo	In Your Arms
Robin S	Luv 4 Luv
George Fitzgerald	Weakness
Municipal Waste	Acid Sentence
Basshunter	Boten Anna
Radiohead	Bullet Proof ... I Wish I Was
Ensiferum	Burning Leaves
Converge	Churches and Jails
Little Big	Dead unicorn
Umberto Emo	Disco Infermo
Fast Animals and slow kids	Giorni di gloria
Devin Townsend Project	Higher - live in Plovdiv 2017
Ozzy Osbourne	Holy For Tonight
St. Vincent	Los Ageless
Home	Resonance
Blank Banshee	SOLAR PLEXUS
Frah Quintale	Si, ah
Weezer	Stand By Me
At the Gates	Suicide Nation
Francesca Michielin	Tapioca
Eidola	Tetelestai
Pearl Jam	Tremor Christ - Remastered
Tommy Cash	WAIT A MINUTE!
tha Supreme	oh 9od
Calexico	Glowing Heart of the World
Ezra Collective	Philosopher II
Rome	Swords To Rust Hearts To Dust
SIE Sound Team	Darkbeast
John Williams	Dobby the House Elf
Ramin Djawadi	I Am the Storm
Barbra Streisand	My Man
PandRezz	Over You
Dan Denison	Pure Desire
The Word Alive	Run Away
Nicholas Hooper	School!
Andy Williams	Sleigh Ride
John Williams	The Portrait Gallery
The Gentle Storm	The Storm
Silences	There's A Wolf
Shireen	Umai
Raimundos	Infeliz Natal
Guided by Voices	E-5
Guided by Voices	Evil Speakers
The Stone Roses	I Am the Resurrection
Yo La Tengo	Pablo and Andrea
The Dismemberment Plan	The City
Ulcerate	Abrogation
Plebeian Grandstand	Eros Culture
Our Place of Worship is Silence	Feast of Martyrdom
Excommunion	Nemesis
Pain of Salvation	Reasons
Łąki Łan	Pola Ar
DJ Shog	Running Water
Base Attack	Techno Rocker
Crystal Castles	Violent Youth
Serj Tankian	Baby
Glee Cast	Bad Romance
Söhne Mannheims	Das Hat Die Welt Noch Nicht Gesehen
Beatsteaks	House On Fire
Die Ärzte	Nicht allein
Elton John	Pinball Wizard
Blur	Sing
2Cellos	Thunderstruck
Cibo Matto	Apple
Deerhunter	Basement Scene
Mac DeMarco	Choo Choo
Casiopea	Conjunction
Drudkh	Days That Passed
Ghost	Death Knell
Candy Claws	Fern Prairie
The Raspberries	I Can Remember
Jim Hall	Rock Skippin'
Egg	Symphony No. 2: First Movement
Neil Young	Tell Me Why
The Byrds	The Christian Life
Ekseption	Toccata
Selena Gomez	Fetish
Madonna	Girl Gone Wild
Lana Del Rey	Gods and Monsters
Cherry Glazerr	Told You I'd Be With The Guys
The Neighbourhood	W.D.Y.W.F.M?
Wallows	Are You Bored Yet?
3D Stas	Deep Scars
DJ Zinc	Glitter
Apashe	Good News
Galantis	Hey Alligator
Camo & Krooked	Hot Pursuit - Dead Battery Remix
Armand van Helden	I Need A Painkiller - Armand Van Helden Vs. Butter Rush
bondi	Land of the Blind - Edit
The Cat Empire	Ready Now
Loadstar	Run Down
Plusma	Shadow of Smile
Zeds Dead	Stardust
Animals as Leaders	Air Chrysalis
Violet Cold	Battle Unicorn
Cloudkicker	Emfargo
M83	Feelings
Apparat	HEROIST - Substance Remix
Ásgeir	Hljóða nótt
Latitudes	Quandary
Oceansize	Savant
M83	Too Late
Ludovico Einaudi	A Sense of Symmetry - Day 1
Lambert	A Thousand Cracks
Gui Boratto	Antropofagia
Blonde Redhead	Barragán
Jaden Smith	Batman
Jon Batiste	Battle Hymn of the Republic
Steve Void	Chemistry
Fuga Ronto	Far Away
Jai Paul	He
Hijaz	Hems
Sam & Dave	Hold On, I'm Comin'
Jungle Brothers	I'll House You
Mollono.Bass	Jungle Dub
Samsonyte	Lucy
Lana Del Rey, The Weeknd	Lust For Life
MAYAEWK	Morning
Mahsa Vahdat	My Ruthless Companion
T v s n	Rainy Day
RJD2	See You Leave - Instrumental
Perfume Genius	Slip Away
Triggerfinger	The One - R.O Remix
Boogie	Won't Be The Same
Sal Dulu	Xompulse
simon eng	oh
Jitwam	whereyougonnago?
Stick to Your Guns	I Choose Nothing
Samiam	Wisconsin
Kettcar	Auf den billigen Plätzen
Joan Baez	Colours
Danger Dan	Er, Sie, Ich
Die Nerven	Explosionen
Voodoo Jürgens	Gitti
Marsimoto	Go Pro
Jain	Makeba - Radio Edit
Die Goldenen Zitronen	alles was ich will
Akua Naru	the world is listening
Make Them Suffer	27
Hellions	Bad Way
Slipknot	Before I forget - Live
Soilwork	Bleeder Despoiler
Bleeding Gods	Bloodguilt
Cruel Hand	Broken Glass
Vanna	Candle Limbs
All Faces Down	Close to the distance
Stepson	Come WIth Me
Samsara	Deathwish
Bleeding Through	Everything You Love Is Gone
Moonspell	Extinct
WSTR	Featherweight
Street Dogs	Free
Boris Brejcha	Fubbes
Hail The Villain	Glad To Be
Emil Bulls	Grenade
Unfound Reliance	Hellbound
Millencolin	Highway Donkey
Bleeding Through	Hollywood Prison
Bleed from Within	I Am Oblivion
Wisdom In Chains	I Don't Care
Heartist	Ignite
Secrets	Incredible
Wu-Tang Clan	It's Yourz
Agnostic Front	Just Like Yesterday
get dead	Kerouac's Teeth
Doom Unit	Killing Time
Comeback Kid	Magnet Pull
Counterparts	Monument
From Ashes Rise	Nightmares
Emil Bulls	Once and for All
Capsize	Pain In Purpose
blink-182	Pin the Grenade
All For Nothing	Remain Defiant
Yelawolf	Sabrina
War Of Ages	Still Small Voice
Periphery	Stranger Things
Uncured	Stygian Valley
Napoleon	The World Outside
Set Your Goals	Trenches
Rise Against	Weight of Time
Callejon	Immergrün
Callejon	ZAHQ
Michael Jackson	Gone Too Soon
David Bowie	Life On Mars?
Chokehold	More Than Ever
Gong	Percolations
Dream Theater	Scene Five: Through Her Eyes
Bright Eyes	Another Travelin' Song
Broken Social Scene	Bandwitch
Joji	Demons
toe	Goodbye
Fleet Foxes	Heard Them Stirring
Smino	KLINK
Arctic Monkeys	Knock a Door Run
The Decemberists	The Hazards of Love 2
Sufjan Stevens	The Seer's Tower
Waving The Guns	Falsch
The Milk Carton Kids	A Sea of Roses
Trevor Powers	Ache
Dent May	Born Too Late
Spangle call Lilli line	Cast A Spell On Her
FKA twigs	Cellophane
St. Vincent	Cheerleader
Vince Guaraldi Trio	Christmas Is Coming
Justin Bieber	Christmas Love
Rolling Blackouts Coastal Fever	Clean Slate
Tender	Closer Still
Demi Lovato	Confident
Daniela Andrade	Crazy In Love
Frankie Cosmos	Dancing
Triptides	Dark Side
Jungle Brothers	Doin' Our Own Dang
Greta Stanley	Drunk Dreams
Minke	Gold Angel
Attic Abasement	Guarantee Jesus
Random Forest	Hibernation
Gold Celeste	Is This What You Can Not Do?
Vetiver	Last Hurrah
Rogue Wave	Memento Mori
Bon Iver	Naeem
Cigarettes After Sex	Neon Moon
Smallpools	No Story Time
Charlotte Lawrence	Psychopath - Recorded at Spotify Studios NYC
The Knocks	Ride Or Die
Coquins	Sens Plus Profond
Nina Nesbitt	Somebody Special
Just A Gent	Sounds Of Her Mind
Lisa Loeb	Stay
Maston	Swans
Praizee	Testing Tubes
Manchester Orchestra	The Gold - Phoebe Bridgers Version
Feed Me Jack	Twice
Bahamas	Way With Words
Boyce Avenue	We Can't Stop
Halsey	Without Me
Phoebe Bridgers	Would You Rather
No Vacation	Yam Yam
Benga	B4 the Dual
Róisín Murphy	Orally Fixated
Vibrasphere	Purple Floating
Seahorse Transform	Satellite Of Kali
Cabaret Voltaire	Searchin'
alt-J	Bloodflood
Max Richter	Dream 3 - Short Edit
Rone	Faster
Cavern of Anti-Matter	Forest Of Drums
FUTURO PELO	Hands
Fakear	Kids
Dionysos	L'heure des lueurs
Django Django	Real Gone
Max Richter	Recomposed By Max Richter: Vivaldi, The Four Seasons: Shadow 3
Cosmo Sheldrake	Tardigrade Song
Clark	Unfurla
Agoria	Up All Night
August Wilhelmsson	Above It All
Papa Roach	Devil
Apocalyptica	Fade to Black
Red Sun Rising	Fascination
Luca Stricagnoli	Feel Good Inc.
The Subways	Good Times
Thornhill	Limbo
Air	Moon Fever
Beware of Darkness	Muthafucka
Mad Caddies	No Hope
The Kooks	Ooh La - Live at Spotify
The Story So Far	Right Here
Skunk Anansie	Secretly - Live
Gavin Luke	The Sum Of All Things
Mad Caddies	Villains
Alexisonfire	We Are The Sound
Long Distance Calling	Welcome Change
Farin Urlaub	Wunderbar
Placebo	Because I Want You
Iron & Wine	Boy With A Coin
Nine Inch Nails	Echoplex
Pearl Jam	Gremmie Out of Control
The Subs	Music is the new religion
Arcade Fire	Neon Bible
Angel Olsen	Only With You
Eels	Parallels
Yo La Tengo	The Crying of Lot G
The Decemberists	The Gymnast, High Above the Ground
Bruce Springsteen	Two Hearts
The National	Wake Up Your Saints
Yes	Wonderous Stories
The Crown	Back From The Grave
Garth Knight	Break point
Helloween	Escalation 666
Mega Drive	Escape Route
Dynatron	Fireburner
Kiss	Ladies In Waiting
Blaze Bayley	Redeemer
Ogre	Revengeance Overcharge
Robert Parker	Running Wild
Megadeth	Seven
Megadeth	She-Wolf
Keep of Kalessin	The Black Uncharted
Perturbator	Volcanic Machinery
David Lee Roth	Yankee Rose
Cigarettes After Sex	Affection
Sleeping at Last	August 12, 2018: Perseid Meteor Shower
Shoecraft	Cheeks
Shakey Graves	Climb On The Cross
Yeasayer	Daughters of Cain
Half Moon Run	Devil May Care
theAngelcy	Giant Heart
Omar Velasco	Harmony, CA
Edward Sharpe & The Magnetic Zeros	If I Were Free - Live at GOTR Daytrotter Session, Troy, OH, August 30, 2013
Sufjan Stevens	Joy to the World
Craig Cardiff	Last Love Letter
Sin Fang	Love Will Leave You Cold
Angèle Dubeau	On the Nature of Daylight – Written on the Sky
Gretta Ray	Re: Stacks
Moop Mama	Regenschirme - Interlude
Catching Flies	Satisfied - Edit
Skinny Lister	Seventeen Summers
Milo Greene	Silent Way
René Aubry	The Desert, Pt. 2
Love Machine	To the Universe
Lemolo	Tracing
Martin Eyerer	Turn Turn Turn
Jake Isaac	Waiting Here
Jordan Mackampa	Walk on the Wild Side
Von wegen Lisbeth	Wenn du tanzt
Nick Mulvey	When The Body Is Gone - SA TA NA MA DEMO
Gramatik	Afternoon Soul
Herbie Hancock	Fat Mama
Jacques Dutronc	L'Idole
The Glove	Like An Animal
The Spyrals	Lonely Eyes
The Flaming Lips	Unconsciously Screamin'
Foy Vance	Noam Chomsky Is A Soft Revolution
WILD CHILD BOUND	EVO
梶浦由記	Power-Hungry
Donots	Saccharine Smile
Sum 41	This Is Goodbye
Turbostaat	Unendlich Viel Geld
Bitter:Sweet	A Moment
The Marcus King Band	Always
Samaris	Black Lights
Wild Beasts	Boy King Trash
Chet Faker	Cigarettes & Loneliness
The Flying Eyes	Come Round
I Am Kloot	Gods and Monsters
Pure Reason Revolution	Goshen's Remains
Vixen	How Much Love
Beady Belle	Irony
Beth Hart	Jazz Man
Alison Krauss & Union Station	Lay My Burden Down
Oak	Lost Causes
Ralph Stanley	O Death
Rachelle Ferrell	Sista
Dave Brubeck	Thank You
Green Carnation	The Burden is mine...Alone
Liquid Tension Experiment	When the Water Breaks
Ray LaMontagne	While It Still Beats
Jessie Ware	You & I
Set Mo	Chasing Forever
